Context,Questions,Correct Answers
Assessment of nutritional status in children with chronic kidney disease and on dialysis,5. Which of the following factors has to be considered causative of PEW in children with CKD? <br> a. Chronic inflammation <br> b. Low dialysis dose <br> c. Metabolic acidosis <br> d. Hormonal factors,D
Calcific uraemic arteriolopathy: a rare disease with a potentially high impact on chronic kidney disease–mineral and bone disorder,1. Which of the following drugs has been associated with the development of CUA in multiple human observational studies? <br> a. Warfarin <br> b. Non-calcium containing binders <br> c. Prednisolone <br> d. Low-molecular-weight heparins <br> e. Cinacalcet,A
Calcific uraemic arteriolopathy: a rare disease with a potentially high impact on chronic kidney disease–mineral and bone disorder,2. Which of the following statements regarding sodium thiosulphate treatment is incorrect? <br> a. STS may alleviate pain in CUA <br> b. STS is not dialysed and can therefore be given during haemodialysis <br> c. STS can cause metabolic acidosis <br> d. Long-term use of STS can result in reduced bone mineral density <br> e. STS treatment can be used as part of a multimodal treatment for CUA,B
Calcific uraemic arteriolopathy: a rare disease with a potentially high impact on chronic kidney disease–mineral and bone disorder,3. Which one of these treatments has not been reported in the management of CUA? <br> a. Tissue plasminogen activator <br> b. Bisphosphonates <br> c. Hyperbaric oxygen <br> d. Surgical debridement <br> e. Topical tacrolimus,E
Calcific uraemic arteriolopathy: a rare disease with a potentially high impact on chronic kidney disease–mineral and bone disorder,4. Which of the following statements is correct regarding paediatric CUA? <br> a. It is frequently seen in paediatric peritoneal dialysis patients <br> b. STS treatment is contra-indicated in paediatric CUA patients. <br> c. There have been multiple studies investigating CUA in the paediatric population <br> d. Pain is a feature of CUA in paediatric patients <br> e. Puberty is an independent risk factor for the development of CUA,D
Calcific uraemic arteriolopathy: a rare disease with a potentially high impact on chronic kidney disease–mineral and bone disorder,"5. Identify the incorrect statement regarding CUA registries <br> a. CUA registries and studies are actively recruiting patients in Germany and the UK. <br> b. The German registry has recruited approximately 30 patients per year. <br> c. Registry work enables a greater understanding of the risk factors, clinical course, outcomes and current treatment strategies in use. <br> d. Registry work enables treatments to be introduced without the need for randomized controlled trials. <br> e. CUA registries are being developed outside Germany and the UK",D
Clinical manifestations of autosomal recessive polycystic kidney disease (ARPKD),1. Extrarenal complications of ARPKD include: <br> a. Interrupted aortic arch <br> b. Caroli disease <br> c. Colonic diverticula <br> d. Inguinal hernia <br> e. Cardiac valve disease,B
Clinical manifestations of autosomal recessive polycystic kidney disease (ARPKD),"2. What percentage of children that survive the neonatal period will develop evidence of portal hypertension over time? <br> a. Almost every child <br> b. Close to 0% <br> c. Almost 50% <br> d. Depending on the clinical database, 10–15% <br> e. Close to 95%",C
Clinical manifestations of autosomal recessive polycystic kidney disease (ARPKD),3. What is the pathogenesis of systemic hypertension in ARPKD? <br> a. Volume overload <br> b. Combination with hyponatremia <br> c. Excessive release of angiotensin II followed by vasoconstriction <br> d. Poor renal function <br> e. All of the above are possible explanations,E
Clinical manifestations of autosomal recessive polycystic kidney disease (ARPKD),4. Which is the wrong answer? Treatment options of gastro-esophageal varices in children with ARPKD include: <br> a. Regular EGD monitoring in patients with PH <br> b. Esophageal band ligation <br> c. Sclerotherapy <br> d. Non-selective beta-blockers <br> e. Cyanoacrylate glue,D
Clinical manifestations of autosomal recessive polycystic kidney disease (ARPKD),5. Which is the wrong answer? Contributing factors to the disease phenotype in ARPKD include: <br> a. Hormonal effects (estrogens) <br> b. Combination of mutations <br> c. Disease-modifying genes <br> d. Mutation of both PKD1 and PKD2 (“double hit”) <br> e. None of the above,D
Cardiovascular changes during chronic hypertensive states,1. The pathophysiological mechanisms leading to hypertensive heart disease are: <br> a. Interstitial and perivascular fibrosis <br> b. Myocardial ischemia <br> c. Changes in the extracellular matrix <br> d. All of the above,D
Cardiovascular changes during chronic hypertensive states,2. Which of the items listed below cannot be classified as subclinical target organ damage: <br> a. Left ventricular hypertrophy (LVH) <br> b. Increased intima media thickness (IMT) <br> c. Hemorrhagic stroke <br> d. Increased pulse wave velocity,C
Cardiovascular changes during chronic hypertensive states,"3. For cardiovascular risk stratification in adults, which of the following are used: <br> a. Elevated blood pressure <br> b. Age <br> c. Glucose level <br> d. All of the above",D
Cardiovascular changes during chronic hypertensive states,"4. In the general population: <br> a. Hypertension is the most important risk factor for global mortality <br> b. The increase of 20 mm Hg in systolic blood pressure (BP) or 10 mmHg in diastolic DBP is associated with a doubling of cardiovascular risk <br> c. Target organ damage (LVH, increased IMT) is already present in childhood <br> d. All of the above are true",D
Cardiovascular changes during chronic hypertensive states,5. The most common cardiovascular disease in pediatric dialysis patients is: <br> a. Systolic heart failure <br> b. Diastolic heart failure <br> c. Arrhythmia <br> d. Cardiomyopathy,C
Congenital nephrotic syndrome and recurrence of proteinuria after renal transplantation,1. The outcome of renal transplantation in infants with a genetic form of nephrotic syndrome is usually: <br> a. worse than in older children <br> b. comparable to that in older children <br> c. better than in older children,b
Congenital nephrotic syndrome and recurrence of proteinuria after renal transplantation,2. The risk for recurrence of nephrotic syndrome after transplantation in patients with a genetic kidney disease is: <br> a. very high <br> b. moderate <br> c. very low,c
Congenital nephrotic syndrome and recurrence of proteinuria after renal transplantation,3. Recurrence of nephrotic syndrome after renal transplantation is most common in patients with mutations in the: <br> a. nephrin gene (NPHS1) <br> b. podocin gene (NPHS2) <br> c. phospholipase c-epsilon gene (NPHS3),a
Congenital nephrotic syndrome and recurrence of proteinuria after renal transplantation,"4. Because of recurrence risk, a child with nephrin gene mutations should receive the graft from: <br> a. one of the parents <br> b. an unrelated, deceased donor <br> c. either a living-related or deceased donor",c
Congenital nephrotic syndrome and recurrence of proteinuria after renal transplantation,5. Patients with a post-transplant recurrence of nephrotic syndrome have been successfully treated with a combination of: <br> a. increased prednisone and anti-thymocyte globulin <br> b. plasma exchange and cyclophosphamide <br> c. increased cyclosporine and mycophenolate,b
Combined liver and kidney transplantation in children,1. The main indications for combined liver–kidney transplantation (CLKT) in children are: <br> a. Primary hyperoxaluria type 1 (PH1) and autosomal recessive polycystic kidney disease (ARPKD) <br> b. PH1 and atypical hemolytic uremic syndrome (aHUS) <br> c. aHUS and methylmalonic acidemia (MMA) <br> d. aHUS and PH1,a
Combined liver and kidney transplantation in children,2. The major life-threatening surgical complication after CLKT is: <br> a. Ureteral stricture of the kidney graft <br> b. Thrombosis of liver artery <br> c. Thrombosis of the kidney artery <br> d. Biliary stricture,b
Combined liver and kidney transplantation in children,3. The major immunological problem after CLKT is: <br> a. Acute antibody-mediated rejection of the liver graft <br> b. Chronic rejection of the liver graft (vanishing bile duct syndrome) <br> c. Chronic rejection of the kidney graft <br> d. Acute cellular rejection of the liver,c
Combined liver and kidney transplantation in children,4. CLKT is performed: <br> a. More often in children than in adults <br> b. Often in patients with liver failure and hepatorenal syndrome (HRS) <br> c. More often than isolated kidney transplantation in PH1 patients <br> d. Usually as the first transplantation in ARPKD patients,c
Combined liver and kidney transplantation in children,5. The outcome of CLKT is: <br> a. Better in infants than in older children and adolescents <br> b. Better in ARPKD as compared to PH1 <br> c. Better in MMA than in PH1 <br> d. Better in MMA than in ARPKD,b
Encapsulating peritoneal sclerosis in children,1. In a child on chronic PD which one of the criteria listed below is required to confirm a diagnosis of EPS? <br> a. ileus or bowel perforation <br> b. recurrent abdominal pain with vomiting and severe malnutrition <br> c. recurrent abdominal pain with US findings of ascites and a thick-walled and matted bowel loops <br> d. abdominal pain with laparotomy finding of volvulus <br> e. peritoneal biopsy sample showing calcification of the peritoneum,c
Encapsulating peritoneal sclerosis in children,"2. Regarding EPS in children, which one of the following statements is true? <br> a. EPS is never seen in children <br> b. EPS may be seen in children who have never received PD <br> c. EPS may be seen in children on chronic PD after they have been converted to HD <br> d. EPS is never seen in children who have received biocompatible PD fluid <br> e. EPD is never seen in children who have not had peritonitis",c
Encapsulating peritoneal sclerosis in children,3. Which one of the following features is not seen on CT scan in a child with EPS? <br> a. small intraperitoneal nodules and other CT findings of peritoneal mesothelioma <br> b. peritoneal calcification <br> c. peritoneal thickening <br> d. ascites <br> e. small bowel dilatation and abnormal peristalsis,a
Encapsulating peritoneal sclerosis in children,"4. In a child who has been on PD for 5 years which one of the following management strategies is most appropriate? <br> a. PD should be stopped immediately and the child put on HD <br> b. 6-monthly CT scans of the abdomen should be performed to screen for peritoneal calcification <br> c. 6-monthly peritoneal biopsies should be taken to screen for peritoneal sclerosis <br> d. the patient and family should be counseled that there is a risk of EPS, and every effort made to perform renal transplantation <br> e. the child should be started on tamoxifen to prevent the development of EPS",d
Encapsulating peritoneal sclerosis in children,"5. In a child with a confirmed diagnosis of EPS, which one of the following treatments should not be performed? <br> a. total parenteral nutrition <br> b. regular flushing of the peritoneal cavity with high dose steroids <br> c. HD <br> d. prednisolone with or without additional immunosuppression <br> e. tamoxifen",b
Gadolinium and nephrogenic systemic fibrosis: an update,"1. In relation to Gd-based contrast agents: <br> a. They are used in MRI, mainly to highlight inflammation and neoplasia, and in MRA <br> b. In a patient with renal impairment, Gd contrast agents are preferable to iodinated contrast media as used in CT <br> c. They can be effectively removed with hemodialysis, avoiding development of nephrogenic systemic fibrosis <br> d. Nonchelated Gd is highly toxic in vivo, causing encephalopathy, hemolysis, anemia, and nephrotoxicity <br> e. They have a higher rate of non-NSF-related adverse events compared with iodinated contrast used in CT",a
Gadolinium and nephrogenic systemic fibrosis: an update,"2. The following statement relating to the clinical features of nephrogenic systemic fibrosis is NOT true: <br> a. Features can include hyperpigmented patches, skin thickening, and joint contractures <br> b. NSF may appear clinically similar to other dermatological conditions, such as scleroderma <br> c. NSF typically occurs rapidly following exposure to Gd <br> d. The clinical picture is variable and must be assessed in combination with histopathological features from deep-skin biopsy in order to make a confident diagnosis <br> e. Clinical changes can improve following restoration of a patient’s renal function",c
Gadolinium and nephrogenic systemic fibrosis: an update,"3. For patients with NSF: <br> a. 15 % have a rapidly progressive course <br> b. There is a 48 % mortality rate attributable to NSF <br> c. Most patients become wheelchair bound due to restricted mobility <br> d. There are more than 500 biopsy-confirmed cases in the literature <br> e. In a patient with continuing renal impairment, no treatment has been consistently shown to improve symptoms of NSF",e
Gadolinium and nephrogenic systemic fibrosis: an update,"4. With regard to risk minimization for NSF: <br> a. Dialysis following Gd contrast administration consistently prevents the development of NSF <br> b. Gadodiamide (Omniscan), gadoversetamide (Optimark), and gadopentetate dimeglumine (Magnevist) are classified as high risk for NSF and are contraindicated in patients with severely impaired renal function <br> c. Gd contrast agents should never be used in neonates <br> d. It is safe for women to continue breast feeding following Gd administration <br> e. Incidence of NSF has not dropped significantly since the implementation of guidelines limiting Gd contrast agent administration",b
Gadolinium and nephrogenic systemic fibrosis: an update,"5. Relating to NSF in children: <br> a. NSF is more common in neonates and infants than in older children <br> b. Creatinine blood testing is mandatory in all patients prior to Gd administration <br> c. Gd use is essential to MRA <br> d. Gadoversetamide (Optimark) is contraindicated in neonates <br> e. Risk of NSF means that there is an absolute contraindication to the use of Gd in patients with renal impairment, and an alternative imaging modality must be used",d
Histopathological diagnosis of acute and chronic rejection,1. Antibody-mediated (humoral) rejection—What is correct? <br> a. Is exceedingly rare later than 1 year after transplantation <br> b. Presents with tubulitis in the kidney biopsy <br> c. Is one important contributor to allograft loss <br> d. Only affects ABO-incompatible transplant recipients,c
Histopathological diagnosis of acute and chronic rejection,2. Chronic antibody-mediated rejection—What is wrong? <br> a. Is characterized by structural remodeling of the kidney microvasculature <br> b. By definition requires detection of a donor-specific antibody <br> c. Is synonymous to “chronic allograft nephropathy” <br> d. Electron microscopy is a helpful diagnostic tool in this context,c
Histopathological diagnosis of acute and chronic rejection,3. Endarteritis/Endothelialitis—What is wrong? <br> a. Is considered a sign of T-cell-mediated rejection according to the current Banff classification <br> b. Is currently disregarded for the diagnosis of acute rejection if not accompanied by an interstitial inflammatory infiltrate or tubulitis <br> c. May be antibody mediated in some cases <br> d. Affects small as well as larger intrarenal arteries,b
Histopathological diagnosis of acute and chronic rejection,4. ABO-incompatible transplantation—What is wrong? <br> a. Diagnosis of antibody-mediated rejection in these cases is based upon presence or absence of C4d-staining in peritubular capillaries <br> b. The outcome is comparable to ABO-compatible kidney transplantation <br> c. Is performed in children as well as in adults <br> d. May represent one of the scenarios in which accommodation occurs,a
Histopathological diagnosis of acute and chronic rejection,5. Borderline acute cellular rejection—What is correct? <br> a. Designates cases in which a diagnosis of acute cellular rejection cannot be made because of insufficient material <br> b. Designates cases that are “borderline” between acute cellular and acute humoral rejection <br> c. Designates cases in which either the amount of interstitial infiltrate or the degree of tubulitis is not sufficient to make a diagnosis of acute cellular rejection <br> d. Is always treated as an acute cellular rejection,c
Hypophosphatemic rickets due to perturbations in renal tubular function,"1. Rickets due to renal tubular disorders is characterized by: <br> a. High serum PTH, low phosphate, low 1,25(OH)2D3 <br> b. Low serum phosphate, normal PTH, normal serum calcium <br> c. Hypercalciuria, high PTH, high 1,25(OH)2D3 <br> d. Hyperphosphatemia, high PTH, low 1,25(OH)2D3",b
Hypophosphatemic rickets due to perturbations in renal tubular function,2. The treatment of genetic hypophosphatemic rickets with hypercalciuria (HHRH/SLC34A3) includes: <br> a. Calcitriol and phosphate <br> b. Phosphate and thiazides <br> c. Calcitriol alone <br> d. Phosphate alone,d
Hypophosphatemic rickets due to perturbations in renal tubular function,3. The nephrocalcinosis in treated patients with XLH is due to: <br> a. Calcium phosphate deposits <br> b. Calcium oxalate deposits <br> c. Combination of calcium oxalate and calcium phosphate deposits <br> d. Unknown,a
Hypophosphatemic rickets due to perturbations in renal tubular function,4. Secondary hyperparathyroidism develops in patients with XLH due to: <br> a. Insufficient intake of calcium <br> b. Nephrocalcinosis-related deterioration in kidney function <br> c. High oral doses of phosphate unbalanced by sufficient intake of calcitriol <br> d. As part of the natural history of the disease,c
Hypophosphatemic rickets due to perturbations in renal tubular function,5. Which of the following statements about X-linked dominant hypophosphatemic rickets (XLH) is not correct: <br> a. XLH manifests in the second decade of life <br> b. XLH is the most common form of hereditary rickets <br> c. XLH results from mutation of the PHEX gene <br> d. Hyperphosphaturia in XLH is caused by high circulating levels of fibroblast growth factor 23 (FGF-23),a
Malignancies after pediatric kidney transplantation: more than PTLD?,1. Which of the following is true? <br> a. The spectrum of cancer is the same among pediatric and adult solid organ transplant (SOT) recipients <br> b. Post-transplant lymphoproliferative disease (PTLD) is the most frequent malignancy after pediatric SOT <br> c. The 5-year incidence rate of PTLD is 5–10% in pediatric kidney transplant (KTx) recipients <br> d. Gastric cancer is especially high in patients from Mediterranean countries <br> e. PTLD is the only known Epstein–Barr virus (EBV)-related malignancy,b
Malignancies after pediatric kidney transplantation: more than PTLD?,2. Which of the following malignant diseases is not related to infectious pathogens? <br> a. PTLD <br> b. Kaposi’s sarcoma (KS) <br> c. Renal cell carcinoma (RCC) <br> d. Hepatocellular carcinoma (HCC) <br> e. Vulvar cancer,c
Malignancies after pediatric kidney transplantation: more than PTLD?,3. The risk of developing PTLD in pediatric KTx patients is increased for patients: <br> a. EBV-seronegative at transplantation <br> b. Beyond 5 years after transplantation <br> c. Receiving living-related grafts <br> d. After hemodialysis <br> e. None of the above,a
Malignancies after pediatric kidney transplantation: more than PTLD?,4. Which regular follow-up analysis is not recommended for a standard follow-up cancer screening program after pediatric SOT? <br> a. Gastroscopy <br> b. EBV-PCR <br> c. Regular presentation to dermatologist <br> d. Regular presentation to gynaecologist (female patients only) <br> e. Regular presentation to transplant physician,a
Malignancies after pediatric kidney transplantation: more than PTLD?,5. Which of the following malignant diseases has an increased incidence after SOT? <br> a. Squamous cell carcinoma <br> b. Lung carcinoma <br> c. Renal cell carcinoma <br> d. Lip carcinoma <br> e. All of the above,e
Venous thromboembolism in pediatric nephrotic syndrome,"1. Overall, childhood VTE is associated with what increase in likelihood of in-hospital death? a. 6 % b. 6-fold (RR=6) c. 60 % d. 16 % e. 60-fold (RR=60)",b
Venous thromboembolism in pediatric nephrotic syndrome,2. Approximately what percentage of pediatric VTE patients develop recurrent VTE? a. 3 % b. 52 % c. 12 % d. 71 % e. 32 %,c
Venous thromboembolism in pediatric nephrotic syndrome,3. What is the strongest risk factor for pediatric VTE? a. Presence of infection b. Immobilization c. Presence of anti-phospholipid antibodies d. Heritable thrombophilia e. Presence of a central venous catheter,e
Venous thromboembolism in pediatric nephrotic syndrome,"4. For children with NS, the majority of clinically apparent VTE develop within how long after diagnosis? a. 1 month b. 6 months c. 9 months d. 3 months e. 12 months",b
Venous thromboembolism in pediatric nephrotic syndrome,5. Antithrombin supplementation may become necessary with the use of which anticoagulants? a. Warfarin b. Vitamin K antagonists c. Tissue-type plasminogen activator d. Heparin e. Aspirin,d
Solid organ transplantation following end-organ failure in recipients of hematopoietic stem cell transplantation in children,1. All of the following are causes of early renal dysfunction in patients who undergo HSCT EXCEPT a. Calcineurin inhibitor toxicity b. Hepatorenal syndrome c. Platinum agent nephrotoxicity d. Thrombotic microangiopathy e. BMT nephropathy,e
Solid organ transplantation following end-organ failure in recipients of hematopoietic stem cell transplantation in children,2. What is the MOST common cause of nephrotic syndrome in the post-HSCT period? a. Minimal change nephrotic syndrome b. Membranoproliferative glomerulonephritis c. Focal segmental glomerulosclerosis d. Membranous glomerulonephritis e. Infection-associated nephrotic syndrome,d
Solid organ transplantation following end-organ failure in recipients of hematopoietic stem cell transplantation in children,3. All of the following are hallmarks of BMT nephropathy EXCEPT a. Hypertension b. Late renal dysfunction c. Low incidence and mortality rate of <10 % d. Disproportionate anemia e. Endothelial damage and coagulation abnormalities,c
Remnant nephron physiology and the progression of chronic kidney disease,"1. In the absence of intervention, the progression of CKD to end-stage usually is: a. Inhibited by acidosis b. Linear with respect to time c. Unaffected by blood pressure d. All of the above",b
Remnant nephron physiology and the progression of chronic kidney disease,2. Oxygen consumption by the whole kidney is: a. Increased in CKD b. Driven primarily by potassium regulation c. Disproportionate to the mass of the kidney d. Most important for glomerular filtration,c
Remnant nephron physiology and the progression of chronic kidney disease,3. Complement activation in CKD is: a. A mediator of progression b. Exacerbated by acidosis c. Related to inflammatory cell infiltration d. All of the above,d
Remnant nephron physiology and the progression of chronic kidney disease,4. Reactive oxygen species (ROS) may affect cell function by: a. Reacting with thiol groups on signaling molecules b. Binding to structural molecules in the cell c. Propagating free radicals through lipid peroxidation d. All of the above,d
Remnant nephron physiology and the progression of chronic kidney disease,5. The renin–angiotensin–aldosterone system may accelerate progressive kidney disease by: a. Inhibiting TGF-β production b. Preventing apoptosis c. Decreasing HIF-1α expression d. Promoting cell hypertrophy,d
Psychosocial support for children and families requiring renal replacement therapy,"1. Psychosocial care of families with children requiring renal replacement therapy does NOT require: a. Evaluation of information needs of child and family b. Evaluation of support needs including social work assessment c. Discussion and information sharing at multiprofessional team meetings d. Liaison with clinical psychology for problems with child, siblings and families e. Routine evaluation by child and adolescent psychiatrist",e
Psychosocial support for children and families requiring renal replacement therapy,2. Children who are needle phobic or apprehensive of potentially painful procedures do NOT require: a. Preparation before procedures by play therapists or child life specialists b. Use of local anaesthetic creams or sprays c. Routine use of general anaesthetics d. Distraction techniques to divert attention e. Early referral to clinical psychologist,c
Psychosocial support for children and families requiring renal replacement therapy,3. Which of the following statements regarding educational issues in children on RRT is TRUE: a. Young people on RRT have comparable educational outcomes to peers b. Uraemia has no effect on cognitive function c. Haemodialysis prevents children doing schoolwork during treatment d. Absenteeism from school is at low levels (<5 %) in children following renal transplantation e. Liaison between hospital and home school teachers facilitates educational progress,e
Psychosocial support for children and families requiring renal replacement therapy,4. Which of the following statements in respect of adolescent patients requiring RRT is TRUE: a. Adolescents should all be treated in an adolescent unit b. Treatment choices should be made by parents in all those younger than 14 years of age c. Transition and transfer to adult renal centres should be completed by 16 years of age d. Poor adherence to medication occurs only in poor socio-economic circumstances e. Youth workers provide personal and group support for this group of patients,e
Psychosocial support for children and families requiring renal replacement therapy,5. Which of the following statements is NOT TRUE in treating children with RRT a. Ethical decisions should be based upon “greater best interests” of the child and family b. Immigration status and race have no impact upon choice of therapy c. Strategies for home support may alleviate the burden of care and prevent “burn out” in families d. Health-related quality of life measures may be a valuable tool for longitudinal assessment of children on RRT as well as their parents e. The “psychosocial prescription” is of minor importance in treating children with RRT,e
Metabolic syndrome in children with chronic kidney disease and after renal transplantation,1. An obligatory criterion of MS according to the IDF definition is: a) arterial hypertension b) hypertriglyceridemia c) low-LDL cholesterol d) increased waist circumference e) a and d,d
Metabolic syndrome in children with chronic kidney disease and after renal transplantation,2. The prevalence of MS in children after Rtx a) is lower than in general population b) is the same as in general population c) is higher than in general population and the same as in children on dialysis d) is higher than in general population and higher than in children on dialysis e) is the same as in children on dialysis,d
Metabolic syndrome in children with chronic kidney disease and after renal transplantation,"3. The clinical presentation of obesity-related glomerulopathy is a) severe arterial hypertension, hematuria, proteinuria b) hematuria with proteinuria c) isolated proteinuria d) severe nephrotic syndrome with rapidly declining renal function e) non-proteinuric, slowly progressive CKD",c
Metabolic syndrome in children with chronic kidney disease and after renal transplantation,4. The most important risk factors of NODAT are: a) preemptive kidney transplantation b) use of high doses of corticosteroids and calcineurin inhibitors c) previous long treatment with peritoneal dialysis d) CAKUT as primary renal disease e) b and c,e
Metabolic syndrome in children with chronic kidney disease and after renal transplantation,"5. Prevention and treatment of MS in CKD and after Rtx should be based on: a) metformin b) intensive antihypertensive treatment with ACEi/ARBs plus metformin c) increased physical activity plus metformin d) increased physical activity, dietary modifications and ACEi/ARBs in the case of elevated blood pressure e) only ACEi",d
Nephron number and its determinants in early life: a primer,1. Which of the following statements regarding the normal nephron number is true? <br> a. There is a narrow range of variation in normal nephron number within and among various populations. <br> b. Persons whose nephron number falls within the normal range should expect to have a lifetime of normal kidney function. <br> c. Most of the population-wide variability in nephron number is determined early in life. <br> d. Estimates of nephron number in adults may be artificially increased due to postnatal nephron acquisition.,c
Nephron number and its determinants in early life: a primer,2. Which in utero exposure can lead to a reduction of nephron number? <br> a. Corticosteroids <br> b. Ethanol <br> c. Protein/calorie malnutrition <br> d. Vitamin A deficiency <br> e. All of the above,e
Nephron number and its determinants in early life: a primer,3. Which of the following can be used to accurately determine the nephron number in an adolescent patient with a history of acute kidney injury? <br> a. Acid maceration method <br> b. Fractionator–disector technique <br> c. Renal volume measurement by ultrasound <br> d. Serum creatinine and cystatin C <br> e. None of the above,e
Nephron number and its determinants in early life: a primer,"4. Since nephrons develop until 34–36 weeks gestational age, infants born prematurely are at risk for decreased nephron number due to: <br> a. Exposure to nephrotoxic medications <br> b. Frequent occurrence of acute kidney injury <br> c. Ex utero hemodynamic alterations <br> d. Suboptimal nutrition <br> e. All of the above",e
Nephron number and its determinants in early life: a primer,5. The parents of a one year-old child born with intrauterine growth restriction ask about preserving his nephrons and decreasing their son’s long term risk of chronic kidney disease. Each of the following would be sound recommendations EXCEPT: <br> a. Avoid nephrotoxic medications <br> b. Begin vitamin A supplementation <br> c. Encourage appropriate postnatal weight gain and avoidance of obesity <br> d. Obtain measurement of blood pressure at each check-up according to American Academy of Pediatrics guidelines,b
Rational use of antihypertensive medications in children,"1. An 8-year-old girl presents with obesity and stage I hypertension confirmed on repeat measurements in the clinic setting and at school. Initial screening laboratory tests were reassuring, with well-balanced electrolytes, normal renal function tests, and a normal urinalysis. Renal ultrasound with Doppler interrogation was unremarkable. An echocardiogram revealed no evidence of left ventricular hypertrophy. The most appropriate intervention at this time is: <br> a. Prescribe a thiazide diuretic <br> b. Prescribe an ACE inhibitor <br> c. Prescribe a beta-blocker <br> d. Provide appropriate counseling regarding therapeutic lifestyle modification",d
Rational use of antihypertensive medications in children,"2. A 12-year-old boy is referred from urology with new-onset elevations in BP in the setting of known reflux nephropathy. In the clinic, his BP measurements fulfill criteria for stage II hypertension. Initial evaluations are notable for an estimated GFR of 65 ml/min/1.73m2 and 3+ proteinuria by dipstick. Which of the following drug classes would be considered most appropriate in this setting? <br> a. Thiazide diuretic <br> b. Calcium channel blocker <br> c. ACE inhibitor <br> d. Direct vasodilator",c
Rational use of antihypertensive medications in children,3. ACE Inhibitors and ARBs are absolutely contraindicated in patients with unilateral renal artery stenosis. <br> a. True <br> b. False,b
Rational use of antihypertensive medications in children,4. Which of the following medication classes should be avoided as primary therapy in the hypertensive athlete? <br> a. Diuretics <br> b. Beta-blockers <br> c. Calcium channel blockers <br> d. a and b,d
Rational use of antihypertensive medications in children,5. Most monogenic forms of hypertension are readily treated with calcium channel blockers. <br> a. True <br> b. False,b
Renal consequences of parenteral nutrition,1. The major indication for PN in children is: <br> a. Acute pancreatitis <br> b. Intestinal failure <br> c. Malnutrition in dialyzed patients <br> d. Burns,b
Renal consequences of parenteral nutrition,2. The composition of PN differs from that of EN in that PN does not contain: <br> a. Amino acids <br> b. Complex carbohydrate <br> c. Lipid <br> d. Arginine,b
Renal consequences of parenteral nutrition,"3. In patients receiving PN, suppression of immune function may be a consequence of: <br> a. High sodium load <br> b. Inadequate vitamin content <br> c. High omega-6 to omega-3 polyunsaturated fatty acid ratio <br> d. Low glucose content",c
